Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"C9"	,"CL21B104KCFNNNE"	,"C0805"	,"1210.6mil"	,"2156.7mil"	,"1210.6mil"	,"2156.7mil"	,"1210.6mil"	,"2116.1mil"	,"T"	,"90"	,"Yes"	,"CL21B104KCFNNNE_100nF"	,
"U8"	,"ACS711KEXLT-31AB-T"	,"IC-SMD_ACS711KEXLT-15AB-T"	,"1692.9mil"	,"2165.4mil"	,"1692.9mil"	,"2165.4mil"	,"1639.8mil"	,"2185mil"	,"T"	,"0"	,"Yes"	,"ACS711KEXLT-31AB-T"	,
"U4"	,"ACS711KEXLT-31AB-T"	,"IC-SMD_ACS711KEXLT-15AB-T"	,"1063mil"	,"2165.4mil"	,"1063mil"	,"2165.4mil"	,"1116.1mil"	,"2145.7mil"	,"T"	,"180"	,"Yes"	,"ACS711KEXLT-31AB-T"	,
"R10"	,"NCP15XH103F03RC"	,"R0402"	,"1604.3mil"	,"1998mil"	,"1604.3mil"	,"1998mil"	,"1616.4mil"	,"1986mil"	,"B"	,"135"	,"Yes"	,"NCP15XH103F03RC"	,
"R5"	,"0402WGF1002TCE"	,"R0402"	,"1742.1mil"	,"2148.3mil"	,"1742.1mil"	,"2148.3mil"	,"1742.1mil"	,"2131.3mil"	,"B"	,"90"	,"Yes"	,"0402WGF1002TCE_10kΩ"	,
"R11"	,"AR02BTC2001"	,"R0402"	,"944.9mil"	,"2165.4mil"	,"944.9mil"	,"2165.4mil"	,"927.8mil"	,"2165.4mil"	,"B"	,"0"	,"Yes"	,"AR02BTC2001_2kΩ"	,
"R12"	,"AR02BTC2001"	,"R0402"	,"944.9mil"	,"2116.1mil"	,"944.9mil"	,"2116.1mil"	,"961.9mil"	,"2116.1mil"	,"B"	,"180"	,"Yes"	,"AR02BTC2001_2kΩ"	,
"R15"	,"AR02BTC2001"	,"R0402"	,"1850.4mil"	,"2141.1mil"	,"1850.4mil"	,"2141.1mil"	,"1850.4mil"	,"2124mil"	,"B"	,"90"	,"Yes"	,"AR02BTC2001_2kΩ"	,
"R16"	,"AR02BTC2001"	,"R0402"	,"1791.3mil"	,"2162.7mil"	,"1791.3mil"	,"2162.7mil"	,"1791.3mil"	,"2179.7mil"	,"B"	,"270"	,"Yes"	,"AR02BTC2001_2kΩ"	,
"C23"	,"CC0402KRX7R7BB104"	,"C0402"	,"1643.7mil"	,"2165.4mil"	,"1643.7mil"	,"2165.4mil"	,"1643.7mil"	,"2143.9mil"	,"B"	,"90"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C24"	,"CC0402KRX7R7BB104"	,"C0402"	,"1114.2mil"	,"2189.2mil"	,"1114.2mil"	,"2189.2mil"	,"1114.2mil"	,"2210.6mil"	,"B"	,"270"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"R3"	,"0402WGF1002TCE"	,"R0402"	,"1013.8mil"	,"2192.2mil"	,"1013.8mil"	,"2192.2mil"	,"1013.8mil"	,"2209.3mil"	,"B"	,"270"	,"Yes"	,"0402WGF1002TCE_10kΩ"	,
"C27"	,"VKMC1201J680MV"	,"CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-FD"	,"984.3mil"	,"1692.9mil"	,"984.3mil"	,"1692.9mil"	,"1089.4mil"	,"1692.9mil"	,"T"	,"180"	,"Yes"	,"VKMC1201J680MV_68uF"	,
"C28"	,"VKMC1201J680MV"	,"CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-FD"	,"1771.7mil"	,"1692.9mil"	,"1771.7mil"	,"1692.9mil"	,"1666.5mil"	,"1692.9mil"	,"T"	,"0"	,"Yes"	,"VKMC1201J680MV_68uF"	,
"C25"	,"VKMC1201J680MV"	,"CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-FD"	,"708.7mil"	,"1860.2mil"	,"708.7mil"	,"1860.2mil"	,"708.7mil"	,"1965.4mil"	,"T"	,"270"	,"Yes"	,"VKMC1201J680MV_68uF"	,
"C26"	,"VKMC1201J680MV"	,"CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-FD"	,"2047.2mil"	,"1860.2mil"	,"2047.2mil"	,"1860.2mil"	,"2047.2mil"	,"1965.4mil"	,"T"	,"270"	,"Yes"	,"VKMC1201J680MV_68uF"	,
"U9"	,"436500215"	,"CONN-TH_436500215"	,"2116.1mil"	,"1584.6mil"	,"2116.1mil"	,"1584.6mil"	,"2175.2mil"	,"1584.6mil"	,"T"	,"0"	,"No"	,"436500215"	,
"U10"	,"SN74LVC1G17DCKR"	,"SC-70-5_L2.1-W1.3-P0.65-LS2.1-BR"	,"462.6mil"	,"1368.1mil"	,"462.6mil"	,"1368.1mil"	,"437mil"	,"1324.8mil"	,"T"	,"270"	,"Yes"	,"SN74LVC1G17DCKR"	,
"C10"	,"CC0402KRX7R7BB104"	,"C0402"	,"446.9mil"	,"1456.7mil"	,"446.9mil"	,"1456.7mil"	,"425.4mil"	,"1456.7mil"	,"T"	,"0"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"U5"	,"CSD88599Q5DCT"	,"SON-22_L5.0-W6.0-P0.50-CSD88599Q5DCT"	,"669.3mil"	,"1565mil"	,"669.3mil"	,"1565mil"	,"570.9mil"	,"1472.4mil"	,"T"	,"90"	,"Yes"	,"CSD88599Q5DCT"	,
"C11"	,"CC0402KRX7R0BB103"	,"C0402"	,"1063mil"	,"1525.6mil"	,"1063mil"	,"1525.6mil"	,"1063mil"	,"1504.1mil"	,"B"	,"90"	,"Yes"	,"CC0402KRX7R0BB103_10nF"	,
"C12"	,"GRM155R72A472KA01D"	,"C0402"	,"452.8mil"	,"1427.2mil"	,"452.8mil"	,"1427.2mil"	,"431.3mil"	,"1427.2mil"	,"B"	,"0"	,"Yes"	,"GRM155R72A472KA01D_4.7nF"	,
"R6"	,"0805W8F220KT5E"	,"R0805"	,"462.6mil"	,"1525.6mil"	,"462.6mil"	,"1525.6mil"	,"462.6mil"	,"1563.6mil"	,"B"	,"270"	,"Yes"	,"0805W8F220KT5E_2.2Ω"	,
"C13"	,"CL21B104KCFNNNE"	,"C0805"	,"466.5mil"	,"1565mil"	,"466.5mil"	,"1565mil"	,"466.5mil"	,"1524.4mil"	,"T"	,"90"	,"Yes"	,"CL21B104KCFNNNE_100nF"	,
"R17"	,"RC2512JK-7W6R8L"	,"R2512"	,"600.4mil"	,"1653.5mil"	,"600.4mil"	,"1653.5mil"	,"600.4mil"	,"1532.8mil"	,"B"	,"90"	,"Yes"	,"RC2512JK-7W6R8L_6.8Ω"	,
"R18"	,"RC2512JK-7W6R8L"	,"R2512"	,"777.6mil"	,"1653.5mil"	,"777.6mil"	,"1653.5mil"	,"777.6mil"	,"1774.3mil"	,"B"	,"270"	,"Yes"	,"RC2512JK-7W6R8L_6.8Ω"	,
"R19"	,"RC2512JK-7W6R8L"	,"R2512"	,"954.7mil"	,"1653.5mil"	,"954.7mil"	,"1653.5mil"	,"954.7mil"	,"1774.3mil"	,"B"	,"270"	,"Yes"	,"RC2512JK-7W6R8L_6.8Ω"	,
"R20"	,"RC2512JK-7W6R8L"	,"R2512"	,"600.4mil"	,"1250mil"	,"600.4mil"	,"1250mil"	,"600.4mil"	,"1129.3mil"	,"B"	,"90"	,"Yes"	,"RC2512JK-7W6R8L_6.8Ω"	,
"R21"	,"RC2512JK-7W6R8L"	,"R2512"	,"777.6mil"	,"1250mil"	,"777.6mil"	,"1250mil"	,"777.6mil"	,"1129.3mil"	,"B"	,"90"	,"Yes"	,"RC2512JK-7W6R8L_6.8Ω"	,
"R22"	,"RC2512JK-7W6R8L"	,"R2512"	,"954.7mil"	,"1250mil"	,"954.7mil"	,"1250mil"	,"954.7mil"	,"1129.3mil"	,"B"	,"90"	,"Yes"	,"RC2512JK-7W6R8L_6.8Ω"	,
"R7"	,"0402WGF1002TCE"	,"R0402"	,"502mil"	,"1692.9mil"	,"502mil"	,"1692.9mil"	,"502mil"	,"1710mil"	,"T"	,"270"	,"Yes"	,"0402WGF1002TCE_10kΩ"	,
"R23"	,"0402WGJ0561TCE"	,"R0402"	,"525.6mil"	,"1598.4mil"	,"525.6mil"	,"1598.4mil"	,"525.6mil"	,"1581.4mil"	,"T"	,"90"	,"Yes"	,"0402WGJ0561TCE_560Ω"	,
"U11"	,"LMR16006XDDCR"	,"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR"	,"2107.5mil"	,"1299.2mil"	,"2107.5mil"	,"1299.2mil"	,"2144.9mil"	,"1354.3mil"	,"T"	,"90"	,"Yes"	,"LMR16006XDDCR"	,
"R24"	,"PTFR0402B100KN9"	,"R0402"	,"2087.8mil"	,"1190.9mil"	,"2087.8mil"	,"1190.9mil"	,"2070.7mil"	,"1190.9mil"	,"T"	,"0"	,"Yes"	,"PTFR0402B100KN9_100kΩ"	,
"C14"	,"CC0402KRX7R0BB103"	,"C0402"	,"2007.9mil"	,"1297.4mil"	,"2007.9mil"	,"1297.4mil"	,"2007.9mil"	,"1276mil"	,"T"	,"90"	,"Yes"	,"CC0402KRX7R0BB103_10nF"	,
"C20"	,"CL21B104KCFNNNE"	,"C0805"	,"2058.2mil"	,"1299.2mil"	,"2058.2mil"	,"1299.2mil"	,"2058.2mil"	,"1258.7mil"	,"B"	,"90"	,"Yes"	,"CL21B104KCFNNNE_100nF"	,
"C22"	,"CL21B104KCFNNNE"	,"C0805"	,"2146.8mil"	,"1299.2mil"	,"2146.8mil"	,"1299.2mil"	,"2146.8mil"	,"1339.8mil"	,"B"	,"270"	,"Yes"	,"CL21B104KCFNNNE_100nF"	,
"D1"	,"DSK16"	,"SOD-123_L2.8-W1.8-LS3.7-RD"	,"2234.3mil"	,"1301.5mil"	,"2234.3mil"	,"1301.5mil"	,"2234.3mil"	,"1234.9mil"	,"B"	,"90"	,"Yes"	,"DSK16"	,
"L1"	,"CBC3225T220KR"	,"L1210"	,"2244.1mil"	,"1271.5mil"	,"2244.1mil"	,"1271.5mil"	,"2244.1mil"	,"1204.5mil"	,"T"	,"90"	,"Yes"	,"CBC3225T220KR_22uH"	,
"R25"	,"RTT025492FTH"	,"R0402"	,"2076.8mil"	,"1439.7mil"	,"2076.8mil"	,"1439.7mil"	,"2076.8mil"	,"1422.6mil"	,"T"	,"90"	,"Yes"	,"RTT025492FTH_54.9kΩ"	,
"R13"	,"0402WGF1002TCE"	,"R0402"	,"2027.6mil"	,"1439.7mil"	,"2027.6mil"	,"1439.7mil"	,"2027.6mil"	,"1456.7mil"	,"T"	,"270"	,"Yes"	,"0402WGF1002TCE_10kΩ"	,
"C29"	,"TLJA107M010R1400"	,"CAP-SMD_L3.2-W1.6"	,"2185mil"	,"1437mil"	,"2185mil"	,"1437mil"	,"2131.9mil"	,"1437mil"	,"T"	,"0"	,"Yes"	,"TLJA107M010R1400_100uF"	,
"C30"	,"CL05A106MP5NUNC"	,"C0402"	,"1889.8mil"	,"1417.3mil"	,"1889.8mil"	,"1417.3mil"	,"1889.8mil"	,"1438.8mil"	,"B"	,"270"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C31"	,"GRM155R60J226ME11D"	,"C0402"	,"1830.7mil"	,"1417.3mil"	,"1830.7mil"	,"1417.3mil"	,"1830.7mil"	,"1438.8mil"	,"B"	,"270"	,"Yes"	,"GRM155R60J226ME11D_22uF"	,
"C32"	,"CL05B103KB5NNNC"	,"C0402"	,"1842.5mil"	,"1509.8mil"	,"1842.5mil"	,"1509.8mil"	,"1864mil"	,"1509.8mil"	,"T"	,"180"	,"Yes"	,"CL05B103KB5NNNC_10nF"	,
"U13"	,"SPX3819M5-L-3-3/TR"	,"SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR"	,"1863.7mil"	,"1418.2mil"	,"1863.7mil"	,"1418.2mil"	,"1914.9mil"	,"1380.8mil"	,"T"	,"0"	,"Yes"	,"SPX3819M5-L-3-3/TR"	,
"R14"	,"0402WGF1002TCE"	,"R0402"	,"1968.5mil"	,"1210.6mil"	,"1968.5mil"	,"1210.6mil"	,"1968.5mil"	,"1227.7mil"	,"T"	,"270"	,"Yes"	,"0402WGF1002TCE_10kΩ"	,
"R26"	,"0402WGF1002TCE"	,"R0402"	,"2162.7mil"	,"1122mil"	,"2162.7mil"	,"1122mil"	,"2179.7mil"	,"1122mil"	,"T"	,"180"	,"Yes"	,"0402WGF1002TCE_10kΩ"	,
"R28"	,"0402WGF1002TCE"	,"R0402"	,"1879.9mil"	,"1289.4mil"	,"1879.9mil"	,"1289.4mil"	,"1879.9mil"	,"1306.4mil"	,"T"	,"270"	,"Yes"	,"0402WGF1002TCE_10kΩ"	,
"R27"	,"PTFR0402B100KN9"	,"R0402"	,"1929.1mil"	,"1289.4mil"	,"1929.1mil"	,"1289.4mil"	,"1929.1mil"	,"1272.3mil"	,"T"	,"90"	,"Yes"	,"PTFR0402B100KN9_100kΩ"	,
"RTMI"	,"DF20F-10DP-1H(59)"	,"CONN-SMD_DF20F-10DP-1H-59"	,"2058.2mil"	,"885.1mil"	,"2057.1mil"	,"895.7mil"	,"2020.6mil"	,"1019.5mil"	,"B"	,"234"	,"Yes"	,"DF20F-10DP-1H(59)"	,
"R29"	,"RC0402FR-070RL"	,"R0402"	,"1131.9mil"	,"935mil"	,"1131.9mil"	,"935mil"	,"1131.9mil"	,"952.1mil"	,"B"	,"270"	,"Yes"	,"RC0402FR-070RL_0Ω"	,
"R30"	,"RC0402FR-070RL"	,"R0402"	,"1092.5mil"	,"974.4mil"	,"1092.5mil"	,"974.4mil"	,"1092.5mil"	,"957.4mil"	,"B"	,"90"	,"Yes"	,"RC0402FR-070RL_0Ω"	,
"R31"	,"RC0402FR-070RL"	,"R0402"	,"1289.4mil"	,"935mil"	,"1289.4mil"	,"935mil"	,"1289.4mil"	,"952.1mil"	,"B"	,"270"	,"Yes"	,"RC0402FR-070RL_0Ω"	,
"R32"	,"RC0402FR-070RL"	,"R0402"	,"1250mil"	,"974.4mil"	,"1250mil"	,"974.4mil"	,"1250mil"	,"957.4mil"	,"B"	,"90"	,"Yes"	,"RC0402FR-070RL_0Ω"	,
"R33"	,"RC0402FR-0718KL"	,"R0402"	,"1210.6mil"	,"974.4mil"	,"1210.6mil"	,"974.4mil"	,"1210.6mil"	,"957.4mil"	,"B"	,"90"	,"Yes"	,"RC0402FR-0718KL_18kΩ"	,
"R34"	,"0402WGF4532TCE"	,"R0402"	,"1053.1mil"	,"974.4mil"	,"1053.1mil"	,"974.4mil"	,"1053.1mil"	,"957.4mil"	,"B"	,"90"	,"Yes"	,"0402WGF4532TCE_45.3kΩ"	,
"R35"	,"0402WGF7502TCE"	,"R0402"	,"1171.3mil"	,"974.4mil"	,"1171.3mil"	,"974.4mil"	,"1171.3mil"	,"957.4mil"	,"B"	,"90"	,"Yes"	,"0402WGF7502TCE"	,
"R36"	,"RC0402FR-070RL"	,"R0402"	,"1446.9mil"	,"935mil"	,"1446.9mil"	,"935mil"	,"1446.9mil"	,"952.1mil"	,"B"	,"270"	,"Yes"	,"RC0402FR-070RL_0Ω"	,
"R37"	,"RC0402FR-070RL"	,"R0402"	,"1407.5mil"	,"974.4mil"	,"1407.5mil"	,"974.4mil"	,"1407.5mil"	,"957.4mil"	,"B"	,"90"	,"Yes"	,"RC0402FR-070RL_0Ω"	,
"R38"	,"RC0402FR-0718KL"	,"R0402"	,"1368.1mil"	,"974.4mil"	,"1368.1mil"	,"974.4mil"	,"1368.1mil"	,"957.4mil"	,"B"	,"90"	,"Yes"	,"RC0402FR-0718KL_18kΩ"	,
"R40"	,"RC0402FR-070RL"	,"R0402"	,"1210.6mil"	,"1082.7mil"	,"1210.6mil"	,"1082.7mil"	,"1227.7mil"	,"1082.7mil"	,"B"	,"180"	,"Yes"	,"RC0402FR-070RL_0Ω"	,
"USB"	,"GT-USB-7010B"	,"USB-SMD_GT-USB-7010B"	,"1378mil"	,"572.5mil"	,"1378mil"	,"570.9mil"	,"1503.9mil"	,"664.3mil"	,"B"	,"180"	,"No"	,"GT-USB-7010B"	,
"R41"	,"0402WGF1002TCE"	,"R0402"	,"1899.6mil"	,"718.5mil"	,"1899.6mil"	,"718.5mil"	,"1911.7mil"	,"706.5mil"	,"T"	,"135"	,"Yes"	,"0402WGF1002TCE_10kΩ"	,
"C37"	,"CC0402KRX7R7BB104"	,"C0402"	,"1692.9mil"	,"1082.7mil"	,"1692.9mil"	,"1082.7mil"	,"1692.9mil"	,"1061.2mil"	,"B"	,"90"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"R42"	,"0402WGF1002TCE"	,"R0402"	,"1633.9mil"	,"944.9mil"	,"1633.9mil"	,"944.9mil"	,"1633.9mil"	,"927.8mil"	,"B"	,"90"	,"Yes"	,"0402WGF1002TCE_10kΩ"	,
"C38"	,"CC0402KRX7R7BB104"	,"C0402"	,"1771.7mil"	,"885.8mil"	,"1771.7mil"	,"885.8mil"	,"1793.1mil"	,"885.8mil"	,"B"	,"180"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C39"	,"CC0402KRX7R7BB104"	,"C0402"	,"1771.7mil"	,"1102.4mil"	,"1771.7mil"	,"1102.4mil"	,"1750.2mil"	,"1102.4mil"	,"B"	,"0"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C40"	,"CC0402KRX7R7BB104"	,"C0402"	,"2155.5mil"	,"974.4mil"	,"2155.5mil"	,"974.4mil"	,"2134.1mil"	,"974.4mil"	,"T"	,"0"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C41"	,"CC0402KRX7R7BB104"	,"C0402"	,"2106.3mil"	,"1190.9mil"	,"2106.3mil"	,"1190.9mil"	,"2084.8mil"	,"1190.9mil"	,"B"	,"0"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C42"	,"CL05A106MP5NUNC"	,"C0402"	,"2165.4mil"	,"1141.7mil"	,"2165.4mil"	,"1141.7mil"	,"2186.8mil"	,"1141.7mil"	,"B"	,"180"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C43"	,"CC0402KRX7R7BB104"	,"C0402"	,"2155.5mil"	,"876mil"	,"2155.5mil"	,"876mil"	,"2134.1mil"	,"876mil"	,"T"	,"0"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C44"	,"CL05A106MP5NUNC"	,"C0402"	,"2155.5mil"	,"925.2mil"	,"2155.5mil"	,"925.2mil"	,"2177mil"	,"925.2mil"	,"T"	,"180"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C45"	,"CC0402KRX7R7BB104"	,"C0402"	,"1953.3mil"	,"723.8mil"	,"1953.3mil"	,"723.8mil"	,"1938.2mil"	,"739mil"	,"B"	,"315"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C46"	,"CL05A106MP5NUNC"	,"C0402"	,"1874.6mil"	,"792.7mil"	,"1874.6mil"	,"792.7mil"	,"1859.4mil"	,"807.9mil"	,"B"	,"315"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C47"	,"CC0402KRX7R7BB104"	,"C0402"	,"1761.8mil"	,"836.6mil"	,"1761.8mil"	,"836.6mil"	,"1783.3mil"	,"836.6mil"	,"B"	,"180"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C48"	,"CL05A106MP5NUNC"	,"C0402"	,"1850.4mil"	,"895.7mil"	,"1850.4mil"	,"895.7mil"	,"1850.4mil"	,"917.1mil"	,"B"	,"270"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C49"	,"CC0402KRX7R7BB104"	,"C0402"	,"1771.7mil"	,"935mil"	,"1771.7mil"	,"935mil"	,"1750.2mil"	,"935mil"	,"B"	,"0"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C50"	,"CL05A106MP5NUNC"	,"C0402"	,"1773.4mil"	,"984.3mil"	,"1773.4mil"	,"984.3mil"	,"1794.9mil"	,"984.3mil"	,"B"	,"180"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C51"	,"CC0402KRX7R7BB104"	,"C0402"	,"1643.7mil"	,"1053.1mil"	,"1643.7mil"	,"1053.1mil"	,"1643.7mil"	,"1074.6mil"	,"B"	,"270"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C52"	,"CL05A106MP5NUNC"	,"C0402"	,"1584.6mil"	,"1023.6mil"	,"1584.6mil"	,"1023.6mil"	,"1584.6mil"	,"1002.2mil"	,"B"	,"90"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C53"	,"CC0402KRX7R7BB104"	,"C0402"	,"1771.7mil"	,"1200.8mil"	,"1771.7mil"	,"1200.8mil"	,"1750.2mil"	,"1200.8mil"	,"B"	,"0"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C54"	,"CL05A106MP5NUNC"	,"C0402"	,"1771.7mil"	,"1151.6mil"	,"1771.7mil"	,"1151.6mil"	,"1793.1mil"	,"1151.6mil"	,"B"	,"180"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"R43"	,"0402WGF1002TCE"	,"R0402"	,"1752mil"	,"816.9mil"	,"1752mil"	,"816.9mil"	,"1769mil"	,"816.9mil"	,"T"	,"180"	,"Yes"	,"0402WGF1002TCE_10kΩ"	,
